ID,Name,Source,SpectralData,AngularFunction,Thickness,Tsol,Rsol1,Rsol2,Tvis,Rvis1,Rvis2,Tir,emis1,emis2,Conductivity,Comment,Manufacturer,ProductName,Color,Certification,Status,Timestamp,Specularity,Tvis2,Tsol2,MaterialID
1739,DS5GF.ABF,IGDB v17.0,1,0,5.070000172,0.173213124,0.196053088,0.169748709,0.056892764,0.067356013,0.096187793,0,0.829999983,0.839999974,0.912,,A & B Films Pte Ltd,DS 5 GF,4802109, ,256,1457602043,0,0.056892764,0.173213124,
2756,SAS_5.mmm,IGDB v31.0,1,0,3.359999895,0.523504376,0.068928726,0.068577647,0.05706019,0.047873594,0.045226809,0,0.839999974,0.903194308,1.379999995,,3M Corporation,SAS 5 4M,4605758, ,256,1457602044,0,0.05706019,0.523504376,
2599,Privacy Black.CPF,IGDB v18.2,1,0,3.200000048,0.156567186,0.059647102,0.055609129,0.058340613,0.05983587,0.054954514,0,0.839999974,0.95599997,0.862999976,,Solutia Performance Films,Gila Privacy Black,3425097,#,256,1457602044,0,0.058340613,0.156567186,
19749,Privacy Black.EMN,IGDB v44.0,1,0,3.200000048,0.156567186,0.059647102,0.055609129,0.058340613,0.05983587,0.054954514,0,0.839999974,0.95599997,0.862999976,,Eastman Chemical Company,Gila Privacy Black,3425097,#,256,1457602044,0,0.058340613,0.156567186,
11254,COOL-LITE ST 408 8mm.SGG,IGDB v16.4,1,0,8,0.02732347,0.484765708,0.131426081,0.059273239,0.376409203,0.277937591,0,0.147,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE ST 408 8mm,4278078, ,256,1457602045,0,0.059273239,0.02732347,
19728,RN07GSRCDF PS.EMN,IGDB v44.0,1,0,3.045000076,0.072021969,0.51063019,0.415575713,0.0595854,0.567461193,0.139088303,0,0.839999974,0.657000005,0.939999998,,Eastman Chemical Company,RN07GSRCDF/PS,5523515,#,256,1457602045,0,0.0595854,0.072021969,
2544,RN07GSRCDF PS.CPF,IGDB v18.2,1,0,3.045000076,0.072021969,0.51063019,0.415575713,0.0595854,0.567461193,0.139088303,0,0.839999974,0.657000005,0.939999998,,Solutia Performance Films,RN07GSRCDF/PS,5523515,#,256,1457602045,0,0.0595854,0.072021969,
25269,GRL_090SGP_SB70XLSTRLAM_6.PPG,IGDB v31.0,1,0,13.61948013,0.02354259,0.045200065,0.492357641,0.059805699,0.04426834,0.122413978,0,0.839999974,0.839999974,0.609206378,,PPG Industries,6mmGrayliteII_090DuPontSGP_6mmSB70XLStarphire,4408899,#,256,1457602045,0,0.059805699,0.02354259,
16558,Moonlight05.ERN,IGDB v38.0,1,0,2.898000002,0.201832294,0.202517614,0.202348873,0.059914261,0.103085726,0.053582061,0,0.839999974,0.70846647,0.954999983,,Erickson International LLC,Moonlight 5,4802367,#,256,1457602045,0,0.059914261,0.201832294,
11225,COOL-LITE SS 408 8mm.SGG,IGDB v16.4,1,0,8,0.027787589,0.485519826,0.127267882,0.060389649,0.372249931,0.265958279,0,0.412,0.837000012,1,,Saint-Gobain Glass,SGG COOL-LITE SS 408 8mm,4212798, ,256,1457602045,0,0.060389649,0.027787589,
